Entity;Code;Year;Annual CO₂ emissions
Afghanistan;AFG;1949;14656
Africa;;1750;0
Africa (GCP);;1850;0
Albania;ALB;1933;7328
Algeria;DZA;1916;3664
Andorra;AND;1750;0
Angola;AGO;1950;186864
Anguilla;AIA;1990;51296
Antarctica;ATA;1987;3664
Antigua and Barbuda;ATG;1957;21984
Argentina;ARG;1887;1084544
Armenia;ARM;1830;40
Aruba;ABW;1926;33394
Asia;;1750;0
Asia (GCP);;1850;14706.797
Asia (excl. China and India);;1750;0
Australia;AUS;1750;0
Austria;AUT;1807;168544
Azerbaijan;AZE;1830;244
Bahamas;BHS;1950;54960
Bahrain;BHR;1933;10992
Bangladesh;BGD;1946;117474
Barbados;BRB;1928;3664
Belarus;BLR;1830;509.99997
Belgium;BEL;1802;6397344
Belize;BLZ;1950;18320
Benin;BEN;1958;124576
Bermuda;BMU;1950;43968
Bhutan;BTN;1970;3664
Bolivia;BOL;1928;3664
Bonaire Sint Eustatius and Saba;BES;1926;7195
Bosnia and Herzegovina;BIH;1885;4408
Botswana;BWA;1972;21984
Brazil;BRA;1901;2103136
British Virgin Islands;VGB;1962;3664
Brunei;BRN;1750;0
Bulgaria;BGR;1881;3664
Burkina Faso;BFA;1958;3664
Burundi;BDI;1950;8794
Cambodia;KHM;1750;0
Cameroon;CMR;1950;139232
Canada;CAN;1785;3664
Cape Verde;CPV;1950;102592
Central African Republic;CAF;1959;98928
Central America (GCP);;1850;0
Chad;TCD;1959;62288
Chile;CHL;1895;523952
China;CHN;1899;0
Christmas Island;CXR;1970;69616
Colombia;COL;1921;29312
Comoros;COM;1959;10992
Congo;COG;1959;186864
Cook Islands;COK;1969;10992
Costa Rica;CRI;1950;285792
Cote d'Ivoire;CIV;1750;0
Croatia;HRV;1885;4792
Cuba;CUB;1941;76320
Curacao;CUW;1926;498337
Cyprus;CYP;1950;267472
Czechia;CZE;1860;202386
Democratic Republic of Congo;COD;1920;3664
Denmark;DNK;1843;135568
Djibouti;DJI;1950;10992
Dominica;DMA;1951;3664
Dominican Republic;DOM;1947;7269
East Timor;TLS;2002;161216
Ecuador;ECU;1917;25648
Egypt;EGY;1911;10992
El Salvador;SLV;1950;267472
Equatorial Guinea;GNQ;1950;10992
Eritrea;ERI;1939;14537
Estonia;EST;1830;185
Eswatini;SWZ;1950;3664
Ethiopia;ETH;1941;10903
Europe;;1750;9350528
Europe (GCP);;1850;177029780
Europe (excl. EU-27);;1750;9350528
Europe (excl. EU-28);;1750;0
European Union (27);;1792;468992
European Union (27) (GCP);;1850;54189980
European Union (28);;1750;9350528
Faroe Islands;FRO;1950;40304
Fiji;FJI;1950;120912
Finland;FIN;1860;36640
France;FRA;1802;2238704
French Equatorial Africa (GCP);;1950;175872
French Guiana;GUF;1750;0
French Polynesia;PYF;1955;43968
French West Africa (GCP);;1949;21806
Gabon;GAB;1959;21984
Gambia;GMB;1950;14656
Georgia;GEO;1830;75
Germany;DEU;1792;468992
Ghana;GHA;1950;637536
Greece;GRC;1867;168544
Greenland;GRL;1950;98928
Grenada;GRD;1950;7328
Guadeloupe;GLP;1750;0
Guatemala;GTM;1941;10903
Guinea;GIN;1750;0
Guinea-Bissau;GNB;1950;7328
Guyana;GUY;1950;260144
Haiti;HTI;1950;113584
High-income countries;;1750;9350528
Honduras;HND;1950;300448
Hong Kong;HKG;1938;54514
Hungary;HUN;1830;113584
Iceland;ISL;1750;0
India;IND;1858;394488
Indonesia;IDN;1889;3664
International transport;;1950;128393890
Iran;IRN;1906;3664
Iraq;IRQ;1927;139232
Ireland;IRL;1850;395712
Israel;ISR;1930;39977
Italy;ITA;1860;29312
Jamaica;JAM;1950;271136
Japan;JPN;1868;10992
Jordan;JOR;1950;172208
Kazakhstan;KAZ;1830;1215
Kenya;KEN;1950;908672
Kiribati;KIR;1961;7328
Kosovo;OWID_KOS;2008;7386624
Kuwait;KWT;1946;2454880
Kuwaiti Oil Fires (GCP);;1991;477924830
Kyrgyzstan;KGZ;1830;104
Laos;LAO;1955;25648
Latvia;LVA;1830;122
Lebanon;LBN;1931;3634
Leeward Islands (GCP);;1950;18320
Lesotho;LSO;1990;1472928
Liberia;LBR;1950;47632
Libya;LBY;1950;142896
Liechtenstein;LIE;1990;198971
Lithuania;LTU;1830;191
Low-income countries;;1750;0
Lower-middle-income countries;;1750;0
Luxembourg;LUX;1945;25440
Macao;MAC;1954;21984
Madagascar;MDG;1933;3634
Malawi;MWI;1950;234550
Malaysia;MYS;1890;7328
Maldives;MDV;1971;3664
Mali;MLI;1959;47632
Malta;MLT;1950;245488
Marshall Islands;MHL;1992;76944
Martinique;MTQ;1750;0
Mauritania;MRT;1750;0
Mauritius;MUS;1950;201520
Mayotte;MYT;1750;0
Mexico;MEX;1891;520288
Micronesia (country);FSM;1992;135568
Middle East (GCP);;1850;0
Moldova;MDA;1830;188
Mongolia;MNG;1950;285792
Montenegro;MNE;1885;435
Montserrat;MSR;1962;3664
Morocco;MAR;1928;29074
Mozambique;MOZ;1927;43968
Myanmar;MMR;1928;3158368
Namibia;NAM;1990;0
Nauru;NRU;1964;29312
Nepal;NPL;1950;25648
Netherlands;NLD;1846;2868912
New Caledonia;NCL;1950;219840
New Zealand;NZL;1878;355408
Nicaragua;NIC;1943;7269
Niger;NER;1958;25648
Nigeria;NGA;1915;18320
Niue;NIU;1970;3664
Non-OECD (GCP);;1850;112439.77
North America;;1750;0
North America (GCP);;1850;19851552
North America (excl. USA);;1750;0
North Korea;PRK;1905;13885
North Macedonia;MKD;1885;3222
Norway;NOR;1829;10992
OECD (GCP);;1850;196783600
Oceania;;1750;0
Oceania (GCP);;1850;0
Oman;OMN;1964;10992
Pakistan;PAK;1946;633646
Palau;PLW;1955;10992
Palestine;PSE;1990;861040
Panama;PAN;1948;21806
Panama Canal Zone (GCP);;1950;194192
Papua New Guinea;PNG;1750;0
Paraguay;PRY;1950;62288
Peru;PER;1884;3664
Philippines;PHL;1907;7328
Poland;POL;1800;406704
Portugal;PRT;1870;21984
Puerto Rico;PRI;1920;208848
Qatar;QAT;1949;260144
Reunion;REU;1750;0
Romania;ROU;1858;3664
Russia;RUS;1830;11199
Rwanda;RWA;1950;16854
Ryukyu Islands (GCP);;1952;21984
Saint Helena;SHN;1968;3664
Saint Kitts and Nevis;KNA;1981;54960
Saint Lucia;LCA;1950;3664
Saint Pierre and Miquelon;SPM;1950;14656
Saint Vincent and the Grenadines;VCT;1950;3664
Samoa;WSM;1950;3664
Sao Tome and Principe;STP;1951;3664
Saudi Arabia;SAU;1936;7328
Senegal;SEN;1958;354814
Serbia;SRB;1885;12803
Seychelles;SYC;1963;7328
Sierra Leone;SLE;1750;0
Singapore;SGP;1750;0
Sint Maarten (Dutch part);SXM;1926;59438
Slovakia;SVK;1860;65086
Slovenia;SVN;1885;3652
Solomon Islands;SLB;1952;3664
Somalia;SOM;1950;47632
South Africa;ZAF;1884;21984
South America;;1750;0
South America (GCP);;1850;0
South Korea;KOR;1905;771
South Sudan;SSD;1950;45768
Spain;ESP;1830;3664
Sri Lanka;LKA;1950;1626816
St. Kitts-Nevis-Anguilla (GCP);;1957;10992
Sudan;SDN;1950;503831.97
Suriname;SUR;1950;212512
Sweden;SWE;1834;32976
Switzerland;CHE;1858;146560
Syria;SYR;1931;3634
Taiwan;TWN;1896;3664
Tajikistan;TJK;1830;60
Tanzania;TZA;1950;498304
Thailand;THA;1931;29074
Togo;TGO;1950;25648
Tonga;TON;1950;7328
Trinidad and Tobago;TTO;1909;25648
Tunisia;TUN;1916;10992
Turkey;TUR;1865;150224
Turkmenistan;TKM;1830;155
Turks and Caicos Islands;TCA;1990;62288
Tuvalu;TUV;1750;0
Uganda;UGA;1950;106256
Ukraine;UKR;1830;3552
United Arab Emirates;ARE;1959;10992
United Kingdom;GBR;1750;9350528
United States;USA;1800;252815.98
Upper-middle-income countries;;1750;0
Uruguay;URY;1932;76320
Uzbekistan;UZB;1830;478
Vanuatu;VUT;1962;40304
Venezuela;VEN;1904;3664
Vietnam;VNM;1892;212512
Wallis and Futuna;WLF;1990;18320
World;OWID_WRL;1750;9350528
Yemen;YEM;1950;58624
Zambia;ZMB;1950;2330187
Zimbabwe;ZWE;1903;113584
